STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,INDICATOR,Indicator,GEO_PICT,Pacific Island Countries and territories,SEX,Sex,AGE,Age,URBANIZATION,Urbanization,INCOME,Income,EDUCATION,Education level,OCCUPATION,Occupation,COMPOSITE_BREAKDOWN,Composite breakdown,DISABILITY,Disability,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,REPORTING_TYPE,Reporting type,NATURE,Nature,DATA_SOURCE,Data source,OBS_STATUS,Observation Status,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,281580,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,245100,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,81.7,,USD_MILLIONS,usd in millions,G,Global,C,Country Data,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",VU,Vanuatu,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2018,,64500000,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,1077375,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,1713195,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,9.57,,USD_MILLIONS,usd in millions,G,Global,C,Country Data,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",PG,Papua New Guinea,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2020,,1593750,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",NC,New Caledonia,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,20310000,,USD,USD,G,Global,C,Country Data,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",MH,Marshall Islands,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2007,,4.9,,USD_MILLIONS,usd in millions,G,Global,C,Country Data,UNISDR (2018). Sendai Framework Monitor - United Nations Office for Disaster Risk Reduction,,,,,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",MH,Marshall Islands,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2014,,454125,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",MH,Marshall Islands,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2016,,1781682,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",SB,Solomon Islands,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2010,,5826567,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",SB,Solomon Islands,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2011,,129938,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",SB,Solomon Islands,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2012,,1091496,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
DATAFLOW,SPC:DF_SDG_11(3.0),Sustainable Development Goal 11 - Sustainable Cities and Communities,I,A,Annual,VC_DSR_AALT,"11.5.2 Direct disaster economic loss, average annual loss",SB,Solomon Islands,_T,Total,_T,All ages,_T,National,_T,Total,_T,All education levels,_T,All occupations,_Z,Not applicable,_T,No breakdown by disability,2013,,12626951,,USD,USD,G,Global,C,Country Data,United Nations Office for Disaster Risk Reduction (2021),,,,Disclaimer: the data submitted by UNISDR has been extracted from 2 sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases.,
